Country_Region;Date;Deaths;Confirmed;Recovered
Afghanistan;1/22/20;0;0;0
Afghanistan;1/23/20;0;0;0
Afghanistan;1/24/20;0;0;0
Afghanistan;1/25/20;0;0;0
Afghanistan;1/26/20;0;0;0
Afghanistan;1/27/20;0;0;0
Afghanistan;1/28/20;0;0;0
Afghanistan;1/29/20;0;0;0
Afghanistan;1/30/20;0;0;0
Afghanistan;1/31/20;0;0;0
Afghanistan;2/1/2020;0;0;0
Afghanistan;2/10/2020;0;0;0
Afghanistan;2/11/2020;0;0;0
Afghanistan;2/12/2020;0;0;0
Afghanistan;2/13/20;0;0;0
Afghanistan;2/14/20;0;0;0
Afghanistan;2/15/20;0;0;0
Afghanistan;2/16/20;0;0;0
Afghanistan;2/17/20;0;0;0
Afghanistan;2/18/20;0;0;0
Afghanistan;2/19/20;0;0;0
Afghanistan;2/2/2020;0;0;0
Afghanistan;2/20/20;0;0;0
Afghanistan;2/21/20;0;0;0
Afghanistan;2/22/20;0;0;0
Afghanistan;2/23/20;0;0;0
Afghanistan;2/24/20;0;1;0
Afghanistan;2/25/20;0;1;0
Afghanistan;2/26/20;0;1;0
Afghanistan;2/27/20;0;1;0
Afghanistan;2/28/20;0;1;0
Afghanistan;2/29/20;0;1;0
Afghanistan;2/3/2020;0;0;0
Afghanistan;2/4/2020;0;0;0
Afghanistan;2/5/2020;0;0;0
Afghanistan;2/6/2020;0;0;0
Afghanistan;2/7/2020;0;0;0
Afghanistan;2/8/2020;0;0;0
Afghanistan;2/9/2020;0;0;0
Afghanistan;3/1/2020;0;1;0
Afghanistan;3/10/2020;0;5;0
Afghanistan;3/11/2020;0;7;0
Afghanistan;3/12/2020;0;7;0
Afghanistan;3/13/20;0;7;0
Afghanistan;3/14/20;0;11;0
Afghanistan;3/15/20;0;16;0
Afghanistan;3/16/20;0;21;1
Afghanistan;3/17/20;0;22;1
Afghanistan;3/18/20;0;22;1
Afghanistan;3/19/20;0;22;1
Afghanistan;3/2/2020;0;1;0
Afghanistan;3/20/20;0;24;1
Afghanistan;3/3/2020;0;1;0
Afghanistan;3/4/2020;0;1;0
Afghanistan;3/5/2020;0;1;0
Afghanistan;3/6/2020;0;1;0
Afghanistan;3/7/2020;0;1;0
Afghanistan;3/8/2020;0;4;0
Afghanistan;3/9/2020;0;4;0
Albania;1/22/20;0;0;0
Albania;1/23/20;0;0;0
Albania;1/24/20;0;0;0
Albania;1/25/20;0;0;0
Albania;1/26/20;0;0;0
Albania;1/27/20;0;0;0
Albania;1/28/20;0;0;0
Albania;1/29/20;0;0;0
Albania;1/30/20;0;0;0
Albania;1/31/20;0;0;0
Albania;2/1/2020;0;0;0
Albania;2/10/2020;0;0;0
Albania;2/11/2020;0;0;0
Albania;2/12/2020;0;0;0
Albania;2/13/20;0;0;0
Albania;2/14/20;0;0;0
Albania;2/15/20;0;0;0
Albania;2/16/20;0;0;0
Albania;2/17/20;0;0;0
Albania;2/18/20;0;0;0
Albania;2/19/20;0;0;0
Albania;2/2/2020;0;0;0
Albania;2/20/20;0;0;0
Albania;2/21/20;0;0;0
Albania;2/22/20;0;0;0
Albania;2/23/20;0;0;0
Albania;2/24/20;0;0;0
Albania;2/25/20;0;0;0
Albania;2/26/20;0;0;0
Albania;2/27/20;0;0;0
Albania;2/28/20;0;0;0
Albania;2/29/20;0;0;0
Albania;2/3/2020;0;0;0
Albania;2/4/2020;0;0;0
Albania;2/5/2020;0;0;0
Albania;2/6/2020;0;0;0
Albania;2/7/2020;0;0;0
Albania;2/8/2020;0;0;0
Albania;2/9/2020;0;0;0
Albania;3/1/2020;0;0;0
Albania;3/10/2020;0;10;0
Albania;3/11/2020;1;12;0
Albania;3/12/2020;1;23;0
Albania;3/13/20;1;33;0
Albania;3/14/20;1;38;0
Albania;3/15/20;1;42;0
Albania;3/16/20;1;51;0
Albania;3/17/20;1;55;0
Albania;3/18/20;2;59;0
Albania;3/19/20;2;64;0
Albania;3/2/2020;0;0;0
Albania;3/20/20;2;70;0
Albania;3/3/2020;0;0;0
Albania;3/4/2020;0;0;0
Albania;3/5/2020;0;0;0
Albania;3/6/2020;0;0;0
Albania;3/7/2020;0;0;0
Albania;3/8/2020;0;0;0
Albania;3/9/2020;0;2;0
Algeria;1/22/20;0;0;0
Algeria;1/23/20;0;0;0
Algeria;1/24/20;0;0;0
Algeria;1/25/20;0;0;0
Algeria;1/26/20;0;0;0
Algeria;1/27/20;0;0;0
Algeria;1/28/20;0;0;0
Algeria;1/29/20;0;0;0
Algeria;1/30/20;0;0;0
Algeria;1/31/20;0;0;0
Algeria;2/1/2020;0;0;0
Algeria;2/10/2020;0;0;0
Algeria;2/11/2020;0;0;0
Algeria;2/12/2020;0;0;0
Algeria;2/13/20;0;0;0
Algeria;2/14/20;0;0;0
Algeria;2/15/20;0;0;0
Algeria;2/16/20;0;0;0
Algeria;2/17/20;0;0;0
Algeria;2/18/20;0;0;0
Algeria;2/19/20;0;0;0
Algeria;2/2/2020;0;0;0
Algeria;2/20/20;0;0;0
Algeria;2/21/20;0;0;0
Algeria;2/22/20;0;0;0
Algeria;2/23/20;0;0;0
Algeria;2/24/20;0;0;0
Algeria;2/25/20;0;1;0
Algeria;2/26/20;0;1;0
Algeria;2/27/20;0;1;0
Algeria;2/28/20;0;1;0
Algeria;2/29/20;0;1;0
Algeria;2/3/2020;0;0;0
Algeria;2/4/2020;0;0;0
Algeria;2/5/2020;0;0;0
Algeria;2/6/2020;0;0;0
Algeria;2/7/2020;0;0;0
Algeria;2/8/2020;0;0;0
Algeria;2/9/2020;0;0;0
Algeria;3/1/2020;0;1;0
Algeria;3/10/2020;0;20;0
Algeria;3/11/2020;0;20;0
Algeria;3/12/2020;1;24;8
Algeria;3/13/20;2;26;8
Algeria;3/14/20;3;37;12
Algeria;3/15/20;4;48;12
Algeria;3/16/20;4;54;12
Algeria;3/17/20;4;60;12
Algeria;3/18/20;7;74;12
Algeria;3/19/20;9;87;32
Algeria;3/2/2020;0;3;0
Algeria;3/20/20;11;90;32
Algeria;3/3/2020;0;5;0
